Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C419X;2013-05-07;22.7;14:20;11.1;07:20;;36;19:20;21;14:30;;0;0;0;
C419X;2013-05-08;26.8;14:40;15.6;06:10;21.2;25;17:50;14;16:00;0;0;0;0;0
C419X;2013-05-09;27.2;15:40;16.2;06:20;21.7;21;15:10;11;14:00;0;0;0;0;0
C419X;2013-05-10;27.7;17:00;18.5;06:30;23.1;30;22:00;18;22:00;0;0;0;0;0
C419X;2013-05-11;28.1;17:30;18.1;04:00;23.1;21;13:50;13;17:40;0;0;0;0;0
C419X;2013-05-12;26.5;14:30;17.7;06:50;22.1;33;17:40;16;17:40;0;0;0;0;0
C419X;2013-05-13;26.2;13:40;18.1;04:50;22.2;35;14:20;19;14:30;0;0;0;0;0
C419X;2013-05-14;23.1;17:50;18.7;22:00;20.9;26;15:20;12;16:30;0;0;0;0;0
C419X;2013-05-15;22.0;13:50;16.4;05:30;19.2;23;13:40;12;13:50;0;0;0;0;0
C419X;2013-05-16;23.8;15:30;15.5;06:10;19.6;27;14:00;14;15:30;0;0;0;0;0
C419X;2013-05-17;22.4;16:00;15.5;07:00;18.9;18;16:00;10;00:10;0;0;0;0;0
C419X;2013-05-18;23.2;19:10;16.1;06:20;19.7;20;14:30;11;14:30;0;0;0;0;0
C419X;2013-05-19;21.5;15:20;18.0;06:30;;53;21:20;23;14:50;;0;0;;
C419X;2013-05-20;23.5;16:30;15.2;05:20;19.3;26;16:30;14;16:20;0;0;0;0;0
C419X;2013-05-21;23.2;15:20;16.1;00:30;19.7;22;15:10;12;15:20;0;0;0;0;0
C419X;2013-05-22;18.1;16:30;2.6;07:40;;28;12:20;17;17:00;;0;0;0;
C419X;2013-05-23;23.5;15:40;15.5;07:10;19.5;30;15:10;14;16:50;0;0;0;0;0
C419X;2013-05-24;23.3;14:30;16.1;05:50;19.7;24;14:40;12;14:30;0;0;0;0;0
C419X;2013-05-25;24.0;15:40;16.4;06:20;20.2;24;12:50;14;14:40;0;0;0;0;0
C419X;2013-05-26;23.0;16:50;17.7;05:50;20.4;25;16:20;13;16:10;0;0;0;0;0
C419X;2013-05-27;22.6;13:20;17.0;01:50;19.8;24;13:00;14;14:30;0;0;0;0;0
C419X;2013-05-28;20.2;18:10;3.0;02:00;;49;13:20;28;13:10;;0;0;0;
C419X;2013-05-29;23.9;17:40;16.0;02:20;19.9;23;14:00;12;15:10;0;0;0;0;0
C419X;2013-05-30;21.6;16:10;8.7;07:40;;53;13:40;32;20:50;;0;0;0;
C419X;2013-05-31;22.3;13:40;16.0;06:30;19.1;18;16:10;9;15:20;0;0;0;0;0
C419X;2013-06-01;23.7;16:50;17.6;07:10;20.7;26;17:40;14;17:40;0;0;0;0;0
C419X;2013-06-02;21.2;17:40;4.1;06:50;;35;14:40;16;15:10;;0;0;0;
C419X;2013-06-03;23.6;16:40;16.2;07:30;19.9;25;13:20;15;14:00;0;0;0;0;0
C419X;2013-06-04;24.3;16:00;17.8;08:00;21;30;15:00;15;15:00;0;0;0;0;0
C419X;2013-06-05;23.2;16:20;18.4;07:40;20.8;26;15:30;11;20:40;0;0;0;0;0
C419X;2013-06-06;24.0;16:10;16.2;06:00;20.1;27;15:00;14;15:20;0;0;0;0;0
C419X;2013-06-07;24.2;17:10;17.0;00:10;20.6;27;19:00;15;17:50;0;0;0;0;0
C419X;2013-06-08;23.9;16:10;18.6;07:10;21.3;23;16:50;14;18:30;0;0;0;0;0
C419X;2013-06-09;23.6;14:40;17.0;08:10;20.3;27;17:10;15;17:10;0;0;0;0;0
C419X;2013-06-10;24.5;15:00;17.1;07:10;20.8;25;14:40;14;14:40;0;0;0;0;0
C419X;2013-06-11;24.0;16:40;18.2;23:59;21.1;26;18:00;15;18:00;0;0;0;0;0
C419X;2013-06-12;25.2;17:00;18.1;00:50;21.7;29;15:00;15;16:10;0;0;0;0;0
C419X;2013-06-13;23.8;12:30;19.2;07:20;21.5;19;12:20;10;13:00;0;0;0;0;0
C419X;2013-06-14;24.9;15:20;19.3;07:40;22.1;22;16:20;13;13:30;0;0;0;0;0
C419X;2013-06-15;25.3;16:40;19.0;07:10;22.1;29;14:30;14;15:10;0;0;0;0;0
C419X;2013-06-16;25.2;16:20;16.8;07:30;21;21;14:40;11;13:40;0;0;0;0;0
C419X;2013-06-17;24.8;15:00;19.0;06:40;21.9;23;16:10;13;16:00;0;0;0;0;0
C419X;2013-06-18;24.3;16:40;18.9;23:10;21.6;26;17:10;15;17:20;0;0;0;0;0
C419X;2013-06-19;24.2;16:50;18.7;06:40;21.5;27;17:50;15;17:30;0;0;0;0;0
C419X;2013-06-20;24.7;15:30;18.5;01:10;21.6;23;15:20;12;13:20;0;0;0;0;0
C419X;2013-06-21;24.8;14:20;17.6;07:10;21.2;27;16:20;15;17:20;0;0;0;0;0
C419X;2013-06-22;24.4;16:10;18.5;23:40;21.4;28;16:40;18;16:50;0;0;0;0;0
C419X;2013-06-23;25.4;16:20;16.1;06:10;20.8;24;12:50;13;12:50;0;0;0;0;0
C419X;2013-06-24;25.0;13:40;19.0;06:50;22;35;13:50;19;13:50;0;0;0;0;0
C419X;2013-06-25;26.0;15:40;18.3;23:59;22.1;29;15:00;17;16:20;0;0;0;0;0
C419X;2013-06-26;25.6;14:10;18.1;00:20;21.9;34;14:30;19;15:40;0;0;0;0;0
C419X;2013-06-27;25.4;18:00;18.6;04:20;22;22;16:00;13;15:30;0;0;0;0;0
C419X;2013-06-28;27.3;15:20;18.9;05:20;23.1;23;16:20;12;14:20;0;0;0;0;0
C419X;2013-06-29;29.2;15:30;18.9;06:50;24.1;19;12:20;11;15:40;0;0;0;0;0
C419X;2013-06-30;28.3;16:40;18.2;07:00;23.3;22;15:10;12;15:10;0;0;0;0;0
C419X;2013-07-01;27.2;16:00;17.7;06:00;22.5;25;13:00;15;13:10;0;0;0;0;0
C419X;2013-07-02;26.7;14:40;17.8;05:40;22.3;34;15:00;19;15:40;0;0;0;0;0
C419X;2013-07-03;24.4;11:20;18.1;07:40;21.3;31;15:30;19;15:30;0;0;0;0;0
C419X;2013-07-04;24.9;14:30;17.4;05:50;21.1;27;13:30;17;13:30;0;0;0;0;0
C419X;2013-07-05;25.4;16:30;18.8;06:20;22.1;29;20:00;15;20:00;0;0;0;0;0
C419X;2013-07-06;25.0;16:10;18.8;07:20;21.9;22;23:59;13;18:30;0;0;0;0;0
C419X;2013-07-07;25.7;17:50;19.4;02:50;22.6;28;16:40;14;17:20;0;0;0;0;0
C419X;2013-07-08;25.8;16:30;19.3;00:40;22.5;36;12:40;19;14:50;0;0;0;0;0
C419X;2013-07-09;25.9;14:20;19.7;07:00;22.8;34;13:50;18;13:30;0;0;0;0;0
C419X;2013-07-10;27.8;14:40;20.3;01:20;24;23;12:50;13;12:50;0;0;0;0;0
C419X;2013-07-11;28.9;17:00;19.1;07:00;24;22;14:20;12;13:40;0;0;0;0;0
C419X;2013-07-12;28.8;13:40;19.4;07:10;24.1;25;11:50;15;11:50;0;0;0;0;0
C419X;2013-07-13;28.2;14:10;18.9;08:10;23.6;27;21:20;15;21:00;0;0;0;0;0
C419X;2013-07-14;28.8;14:10;18.1;07:40;23.4;26;17:10;13;17:00;0;0;0;0;0
C419X;2013-07-15;27.5;18:30;18.6;05:50;23.1;26;16:20;13;16:40;0;0;0;0;0
C419X;2013-07-16;26.9;18:20;18.4;05:50;22.6;28;17:10;15;17:10;0;0;0;0;0
C419X;2013-07-17;27.5;18:20;18.7;04:00;23.1;31;13:50;14;14:40;0;0;0;0;0
C419X;2013-07-18;26.4;16:10;18.4;08:00;22.4;22;17:30;13;17:30;0;0;0;0;0
C419X;2013-07-19;25.9;17:20;18.8;05:50;22.3;23;14:00;13;15:50;0;0;0;0;0
C419X;2013-07-20;26.3;15:30;19.5;01:30;22.9;27;18:40;13;18:30;0;0;0;0;0
C419X;2013-07-21;25.8;13:00;20.5;06:40;23.1;25;15:10;14;13:50;0;0;0;0;0
C419X;2013-07-22;27.0;16:20;19.7;07:20;23.4;24;15:00;12;15:30;0;0;0;0;0
C419X;2013-07-23;26.4;15:20;20.1;07:40;23.3;31;13:00;18;13:00;0;0;0;0;0
C419X;2013-07-24;26.3;14:30;19.9;07:40;23.1;29;16:30;12;15:40;0;0;0;0;0
C419X;2013-07-25;25.9;18:10;19.7;03:10;22.8;21;15:10;12;15:10;0;0;0;0;0
C419X;2013-07-26;27.0;16:30;20.4;06:20;23.7;21;16:00;11;16:10;0;0;0;0;0
C419X;2013-07-27;25.8;14:00;18.6;08:10;22.2;27;15:00;11;14:30;0;0;0;0;0
C419X;2013-07-28;27.9;17:10;18.1;07:40;23;19;16:30;10;17:40;0;0;0;0;0
C419X;2013-07-29;27.8;15:40;21.1;06:40;24.4;25;17:30;12;16:30;0;0;0;0;0
C419X;2013-07-30;28.3;16:10;19.9;06:00;24.1;26;17:00;14;17:10;0;0;0;0;0
C419X;2013-07-31;28.7;17:00;19.9;08:00;24.3;32;17:50;20;17:50;0;0;0;0;0
C419X;2013-08-01;27.6;14:30;19.6;06:00;23.6;31;15:40;20;15:20;0;0;0;0;0
