Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1049N;2013-05-07;20.9;18:30;13.7;03:10;17.3;24;23:10;9;22:10;;;0;0;0
1049N;2013-05-08;17.7;02:00;11.2;23:59;14.5;22;01:50;9;02:00;5.8;0;0.4;5.2;0.2
1049N;2013-05-09;12.5;15:00;8.1;23:40;10.3;24;16:20;11;16:20;18.2;0;3.6;11.8;2.8
1049N;2013-05-10;13.0;18:00;7.4;07:00;10.2;19;17:30;10;14:20;0;0;0;0;0
1049N;2013-05-11;14.6;17:20;6.3;23:50;10.5;23;17:30;10;17:00;0;0;0;0;0
1049N;2013-05-12;11.2;15:10;6.0;23:59;8.6;15;12:20;7;09:00;1;0.4;0.6;0;0
1049N;2013-05-13;17.0;17:00;4.5;08:00;10.8;22;18:40;12;14:50;0;0;0;0;0
1049N;2013-05-14;18.7;14:40;6.0;05:00;12.4;27;16:20;15;16:20;4.6;0;0;0;4.6
1049N;2013-05-15;10.3;15:10;5.3;23:59;7.8;28;15:50;14;05:40;13.8;4;3.8;3;3
1049N;2013-05-16;12.5;15:40;3.4;06:40;8;28;11:50;12;11:50;5.6;1.8;0.8;0;3
1049N;2013-05-17;13.3;16:20;5.3;02:00;9.3;26;15:50;13;15:50;9.2;0.4;0.4;6.2;2.2
1049N;2013-05-18;8.0;13:40;5.7;07:10;6.8;27;14:30;12;14:40;;13.4;;5.2;4.2
1049N;2013-05-19;15.4;15:50;9.5;07:20;;42;14:50;32;18:10;;0.4;1.6;;
1049N;2013-05-20;13.1;17:10;6.0;02:40;;21;17:10;7;15:10;;;;;
1049N;2013-05-21;10.8;18:10;2.9;06:30;;15;18:50;9;19:00;;;;;0.4
1049N;2013-05-22;11.7;15:30;7.9;04:20;9.8;44;18:00;18;18:00;10.2;0.8;4.4;0;5
1049N;2013-05-23;9.8;13:00;7.8;23:10;8.8;35;13:00;13;13:30;3.4;2.2;0.8;0.2;0.2
1049N;2013-05-24;12.4;18:10;5.5;07:00;8.9;37;15:00;17;11:30;1.4;0.4;1;0;0
1049N;2013-05-25;11.4;14:50;5.7;23:10;8.5;38;11:10;16;04:50;4.6;2.8;1.8;0;0
1049N;2013-05-26;17.6;14:40;2.6;07:30;10.1;33;17:50;16;16:20;0;0;0;0;0
1049N;2013-05-27;16.6;17:30;8.6;02:00;12.6;20;19:00;11;15:20;1;0;1;0;0
1049N;2013-05-28;12.1;14:00;6.6;08:00;9.4;48;05:40;21;16:40;7.8;5.2;1.8;0.6;0.2
1049N;2013-05-29;11.3;16:00;5.2;09:00;8.3;38;13:40;15;18:30;18.2;0;8.8;5.4;4
1049N;2013-05-30;9.7;18:20;6.5;02:00;8.1;50;21:40;21;20:30;14.6;5.4;1.8;5.6;1.8
1049N;2013-05-31;9.8;18:40;8.1;09:10;9;53;07:50;21;05:40;21.6;0.2;9.4;7;5
1049N;2013-06-01;10.7;18:40;8.9;07:10;9.8;40;09:10;17;09:10;3.6;1.6;0;0;2
1049N;2013-06-02;12.7;14:00;9.1;05:00;10.9;23;14:20;11;10:30;1.8;1.6;0.2;0;0
1049N;2013-06-03;16.9;16:00;8.0;23:59;12.4;27;17:20;12;11:30;0;0;0;0;0
1049N;2013-06-04;19.4;14:40;6.4;06:10;12.9;26;17:50;12;14:30;0;0;0;0;0
1049N;2013-06-05;25.1;16:30;7.7;06:20;16.4;21;16:40;12;14:40;0;0;0;0;0
1049N;2013-06-06;25.5;15:00;11.7;06:30;18.6;26;18:10;11;13:20;4.8;0;0;1.2;3.6
1049N;2013-06-07;21.5;15:20;11.4;23:59;16.4;44;18:10;13;18:10;12.8;0;1;6.8;5
1049N;2013-06-08;12.0;15:50;10.7;05:10;11.3;24;09:40;10;10:10;24.8;2.6;8;7.8;6.4
1049N;2013-06-09;12.8;13:40;10.8;00:00;11.8;41;18:00;18;07:50;50.2;13;26.4;7.6;3.2
1049N;2013-06-10;19.9;17:00;11.4;00:00;15.6;30;05:20;13;01:00;0.4;0.4;0;0;0
1049N;2013-06-11;23.3;17:40;12.6;05:30;17.9;19;16:20;10;05:50;0;0;0;0;0
1049N;2013-06-12;29.6;15:50;14.6;04:30;22.1;30;20:50;16;21:20;0;0;0;0;0
1049N;2013-06-13;16.7;18:10;12.7;23:59;14.7;22;13:10;10;12:50;2.2;0.2;0.6;1.4;0
1049N;2013-06-14;25.4;14:50;11.0;03:50;18.2;28;18:30;15;16:10;0;0;0;0;0
1049N;2013-06-15;18.1;14:30;9.8;06:40;14;25;16:00;13;16:00;0;0;0;0;0
1049N;2013-06-16;30.5;16:40;12.3;07:10;21.4;30;11:40;14;15:50;0;0;0;0;0
1049N;2013-06-17;17.6;13:50;10.8;16:10;14.2;33;15:30;15;09:20;2.6;0;0;2.6;0
1049N;2013-06-18;13.2;14:50;9.8;20:50;11.5;26;17:10;14;17:10;25.4;0.2;4.6;3.4;17.2
1049N;2013-06-19;14.6;14:50;9.4;05:10;12;24;07:40;11;07:50;19.2;15;2.4;1.2;0.6
1049N;2013-06-20;13.0;17:00;10.2;00:10;11.6;24;13:10;9;16:20;3.4;2.6;0.6;0.2;0
1049N;2013-06-21;14.3;14:50;11.1;03:50;12.7;33;10:40;13;10:00;8.8;6;2.6;0.2;0
1049N;2013-06-22;23.3;15:30;9.2;05:10;16.2;23;15:40;12;16:20;0.4;0;0;0;0.4
1049N;2013-06-23;16.1;17:00;9.2;23:59;12.7;33;12:00;18;17:30;4.4;1;3.4;0;0
1049N;2013-06-24;15.9;16:40;8.2;00:50;12;22;17:40;11;10:40;0;0;0;0;0
1049N;2013-06-25;17.4;16:00;7.6;02:00;12.5;22;18:10;11;15:40;0;0;0;0;0
1049N;2013-06-26;18.5;16:20;8.9;00:00;13.7;29;18:30;13;18:20;0;0;0;0;0
1049N;2013-06-27;19.2;15:00;10.4;06:00;14.8;25;13:30;11;15:40;0;0;0;0;0
1049N;2013-06-28;20.1;15:30;9.4;05:00;14.8;20;10:40;10;14:00;0;0;0;0;0
1049N;2013-06-29;20.8;16:10;8.8;06:30;14.8;20;17:10;11;17:10;0;0;0;0;0
1049N;2013-06-30;20.6;17:40;12.3;06:40;16.5;21;16:20;10;16:00;0;0;0;0;0
1049N;2013-07-01;17.6;14:50;14.5;06:10;16.1;14;14:00;9;16:20;0;0;0;0;0
1049N;2013-07-02;20.4;12:50;12.8;06:00;16.6;19;16:00;11;14:30;0;0;0;0;0
1049N;2013-07-03;21.2;15:50;14.5;02:00;17.9;34;15:40;13;19:00;0.8;0;0;0;0.8
1049N;2013-07-04;21.6;15:50;14.7;06:00;18.2;21;16:10;11;16:40;0.8;0.6;0.2;0;0
1049N;2013-07-05;26.1;15:00;14.1;00:40;20.1;24;17:10;14;17:20;0;0;0;0;0
1049N;2013-07-06;26.8;16:20;15.2;06:40;21;27;14:30;15;14:30;0;0;0;0;0
1049N;2013-07-07;26.7;16:00;13.1;06:20;19.9;24;18:20;10;15:00;0;0;0;0;0
1049N;2013-07-08;28.7;15:30;15.4;06:20;22.1;23;16:00;14;17:00;0;0;0;0;0
1049N;2013-07-09;30.4;16:00;17.3;05:50;23.8;24;17:30;13;16:40;0;0;0;0;0
1049N;2013-07-10;28.8;14:20;16.9;06:30;22.8;21;15:40;10;15:20;0;0;0;0;0
1049N;2013-07-11;28.4;16:20;16.5;06:20;22.4;26;17:50;15;17:50;0;0;0;0;0
1049N;2013-07-12;30.3;15:10;17.9;23:10;24.1;41;21:30;14;18:20;0.6;0;0;0;0.6
1049N;2013-07-13;27.5;15:10;16.6;06:10;22.1;21;16:00;11;15:50;0;0;0;0;0
1049N;2013-07-14;25.4;16:30;15.4;06:20;20.4;21;10:40;12;18:10;0;0;0;0;0
1049N;2013-07-15;26.7;14:20;14.0;06:50;20.4;23;15:50;13;15:50;0;0;0;0;0
1049N;2013-07-16;23.1;18:30;16.1;04:40;19.6;17;22:40;9;17:10;1.8;0;0.6;1.2;0
1049N;2013-07-17;25.7;16:30;16.0;07:30;20.9;22;16:10;12;16:50;0;0;0;0;0
1049N;2013-07-18;26.2;16:40;15.4;04:50;20.8;22;17:30;12;13:10;0;0;0;0;0
1049N;2013-07-19;29.1;15:10;15.6;04:10;22.4;26;22:50;11;17:50;0;0;0;0;0
1049N;2013-07-20;31.3;15:50;16.8;22:40;24;32;20:10;11;16:30;2.2;0;0;0;2.2
1049N;2013-07-21;30.5;18:00;15.7;03:50;23.1;23;20:00;13;20:10;0;0;0;0;0
1049N;2013-07-22;32.0;16:50;17.4;06:20;24.7;25;20:00;13;20:10;5.4;0;0;0;5.4
1049N;2013-07-23;22.5;13:30;16.5;22:50;19.5;23;22:10;11;22:00;4.2;1;0;0.2;3
1049N;2013-07-24;28.0;16:10;16.5;00:00;22.3;20;17:20;11;16:40;0;0;0;0;0
1049N;2013-07-25;26.0;15:10;18.8;04:40;22.4;22;17:50;13;17:50;5.6;0.2;0;0;5.4
1049N;2013-07-26;28.4;16:00;16.7;23:50;22.6;24;17:30;12;17:20;1.6;0.6;0;0;1
